㐖毒	xiédú
㞎㞎	bǎba
㧑挹	huīyì
㧑损	huīsǔn
一一对应	yīyīduìyìng
一一映射	yīyīyìngshè
一一行行	yīyīxíngxíng
一丁	yīdīng
一丁不识	yīdīngbùshí
一丁点	yīdīngdiǎn
一丁点儿	yīdīngdiǎner
一七令	yīqīlìng
一万日	yīwànrì
一万次地	yīwàncìde
一丈五尺	yīzhàngwǔchǐ
一丈红	yīzhànghóng
一上	yīshàng
一上手	yīshàngshǒu
一上青山便化身	yīshàngqīngshānbiànhuàshēn
一不为少	yībùwéishǎo
一不作	yībùzuò
一不做	yībūzuò
一不压众	yībùyāzhòng
一不安地	yībùānde
一不小心	yíbùxiǎoxīn
一不意	yībùyì
一不扭众	yībùniǔzhòng
一不溜	yībùliū
一与一	yīyǔyī
一专多能	yīzhuānduōnéng
一世异朝市	yīshìyìcháoshì
一丘之貉	yīqiūzhīhé
一丘貉	yīqiūmò
一丝不差	yìsībùchā
一丝不挂	yīsībùguà
一丝不紊	yīsībùwěn
一丝不苟	yīsībùgǒu
一个	yígè
一个一个地	yígèyígède
一个个	yīgègè
一个个地	yígègède
一个个地来	yígègèdelái
一个中国政策	yīgèzhōngguózhèngcè
一个人	yīgèrén
一个人相好	yígèrénxiānghǎo
一个劲	yígèjìn
一个劲儿	yīgèjìner
一个劲地	yígèjìnde
一个劲地咳嗽	yígèjìndekésòu
一个劲地抱怨	yígèjìndebàoyuàn
一个劲地问	yígèjìndewèn
一个劲地鼓掌	yígèjìndegǔzhǎng
一个半	yīgebàn
一个半个	yīgèbàngè
一个大	yígèdà
一个头两个大	yīgetóuliǎnggedà
一个子儿	yígèzier
一个将军一个令	yīgèjiāngjūnyīgèlìng
一个巴掌拍不响	yīgèbāzhǎngpāibùxiǎng
一个幽灵在欧洲游荡	yīgèyōulíngzàiōuzhōuyóudàng
一个心眼	yígèxīnyǎn
一个心眼儿	yígèxīnyǎnér
一个接一个	yīgejiēyīge
一个接一个地	yígèjiēyígède
一个是一个	yígèshìyígè
一个样	yīgeyàng
一个稿子	yígègǎozi
一个老鼠害一锅汤	yígèlǎoshǔhàiyīguōtāng
一个萝卜一个坑	yīgèluóboyīgèkēng
一中一台	yīzhōngyītái
一中原则	yīzhōngyuánzé
一中同长	yīzhōngtóngcháng
一串红	yīchuànhóng
一丸五色	yīwánwǔsè
一丸泥	yīwánní
一为地	yīwèide
一举万里	yījǔwànlǐ
一举两得	yījǔliǎngdé
一之为甚	yīzhīwéishèn
一之已甚	yīzhīyǐshèn
一之谓甚	yīzhīwèishèn
一乘	yīchéng
一乘显性教	yīchéngxiǎnxìngjiào
一九三六年春在太原	yījiǔsānliùniánchūnzàitàiyuán
一乱涂地	yīluàntúdì
一了	yīliǎo
一了百了	yīliǎobǎiliǎo
一了百当	yīliǎobǎidàng
